Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Escherichia coli	E. coli	strain: STEC1587	562	ASM3041376v1	GCA_030413765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4967596	5143769	2023-07-10	5077	PRJNA990487	SAMN36269290
Escherichia coli	E. coli	strain: STEC1588	562	ASM3041378v1	GCA_030413785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4862340	5134479	2023-07-10	5021	PRJNA990487	SAMN36269387
Escherichia coli	E. coli	strain: STEC1585	562	ASM3041380v1	GCA_030413805.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5234205	5477080	2023-07-10	5411	PRJNA990487	SAMN36269257
Escherichia coli	E. coli	strain: 1344_LBHALD	562	ASM3041384v1	GCA_030413845.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4810505	5044676	2023-07-10	5092	PRJNA987639	SAMN35984967
Escherichia coli	E. coli	strain: CE0032f	562	ASM3041902v1	GCA_030419025.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5096494	5326561	2023-07-11	5169	PRJNA938096	SAMN33425322
Escherichia coli	E. coli	strain: CE0026f	562	ASM3041904v1	GCA_030419045.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5151655	5381129	2023-07-11	5186	PRJNA938096	SAMN33425319
Escherichia coli	E. coli	strain: CE0026a	562	ASM3041906v1	GCA_030419065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5055155	5273481	2023-07-11	5136	PRJNA938096	SAMN33425318
Escherichia coli	E. coli	strain: CE0021a	562	ASM3041908v1	GCA_030419085.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5231915	5398143	2023-07-11	5407	PRJNA938096	SAMN33425314
Escherichia coli	E. coli	strain: CE0011b	562	ASM3041910v1	GCA_030419105.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5246002	5256993	2023-07-11	5076	PRJNA938096	SAMN33425307
Escherichia coli	E. coli	strain: CE0007a	562	ASM3041912v1	GCA_030419125.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5271527	5446089	2023-07-11	5374	PRJNA938096	SAMN33425303
Escherichia coli	E. coli	strain: STEC434	562	ASM3043589v1	GCA_030435895.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5011978	5011978	2023-07-12	4847	PRJNA990487	SAMN36269677
Escherichia coli	E. coli	strain: G12	562	ASM3043669v1	GCA_030436695.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4987142	5315337	2023-07-11	5285	PRJNA989079	SAMN36083486
Escherichia coli	E. coli	strain: STEC1590	562	ASM3043843v1	GCA_030438435.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5145936	5278067	2023-07-11	5150	PRJNA990487	SAMN36269620
Escherichia coli	E. coli	strain: STEC435	562	ASM3043845v1	GCA_030438455.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4934737	5083774	2023-07-11	4957	PRJNA990487	SAMN36269922
Escherichia coli	E. coli	strain: GZM7	562	ASM3043922v1	GCA_030439225.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4789193	5446932	2023-07-11	5371	PRJNA989341	SAMN36084424
Escherichia coli	E. coli	strain: CEC15	562	ASM3050145v2	GCA_030501455.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4780804	4981629	2023-09-20	4844	PRJNA747051	SAMN20282879
Escherichia coli	E. coli	strain: MS21324	562	ASM3051517v1	GCA_030515175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4942450	5056674	2023-07-21	4895	PRJNA757133	SAMN20934303
Escherichia coli	E. coli	strain: MS21199	562	ASM3051519v1	GCA_030515195.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4914705	5073611	2023-07-21	4927	PRJNA757133	SAMN20934302
Escherichia coli	E. coli	strain: MS20677	562	ASM3051521v1	GCA_030515215.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4997713	5063065	2023-07-21	4922	PRJNA757133	SAMN20934301
Escherichia coli	E. coli	strain: MS20675	562	ASM3051523v1	GCA_030515235.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5091604	5430852	2023-07-21	5347	PRJNA757133	SAMN20934300
Escherichia coli	E. coli	strain: MS20674	562	ASM3051525v1	GCA_030515255.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5043071	5151870	2023-07-21	4977	PRJNA757133	SAMN20934299
Escherichia coli	E. coli	strain: MS20673	562	ASM3051535v1	GCA_030515355.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4954933	5173642	2023-07-21	5034	PRJNA757133	SAMN20934298
Escherichia coli	E. coli	strain: MS20659	562	ASM3051537v1	GCA_030515375.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5115175	5218850	2023-07-21	5038	PRJNA757133	SAMN20934297
Escherichia coli	E. coli	strain: MS20658	562	ASM3051540v1	GCA_030515405.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5004715	5077633	2023-07-21	4881	PRJNA757133	SAMN20934296
Escherichia coli	E. coli	strain: MS20657	562	ASM3051543v1	GCA_030515435.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4848979	4996041	2023-07-21	4839	PRJNA757133	SAMN20934295
Escherichia coli	E. coli	strain: MS20655	562	ASM3051545v1	GCA_030515455.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4834475	5108804	2023-07-21	4964	PRJNA757133	SAMN20934294
Escherichia coli	E. coli	strain: MS20654	562	ASM3051547v1	GCA_030515475.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5051478	5203382	2023-07-21	5080	PRJNA757133	SAMN20934293
Escherichia coli	E. coli	strain: MS20653	562	ASM3051549v1	GCA_030515495.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5189297	5323322	2023-07-21	5212	PRJNA757133	SAMN20934292
Escherichia coli	E. coli	strain: MS20649	562	ASM3051551v1	GCA_030515515.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4825997	5042319	2023-07-21	4872	PRJNA757133	SAMN20934291
Escherichia coli	E. coli	strain: MS20645	562	ASM3051553v1	GCA_030515535.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5249827	5280661	2023-07-21	5143	PRJNA757133	SAMN20934290
Escherichia coli	E. coli	strain: MS15236	562	ASM3051555v1	GCA_030515555.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5017332	5226528	2023-07-21	5024	PRJNA757133	SAMN20934289
Escherichia coli	E. coli	strain: MS15052	562	ASM3051557v1	GCA_030515575.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5174067	5328955	2023-07-21	5283	PRJNA757133	SAMN20934288
Escherichia coli	E. coli	strain: MS15047	562	ASM3051559v1	GCA_030515595.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4803092	4922876	2023-07-21	4766	PRJNA757133	SAMN20934287
Escherichia coli	E. coli	strain: MS15046	562	ASM3051561v1	GCA_030515615.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5217608	5448521	2023-07-21	5267	PRJNA757133	SAMN20934286
Escherichia coli	E. coli	strain: 11899A_LBHALD	562	ASM3052016v1	GCA_030520165.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4795870	5088163	2023-07-24	5146	PRJNA986545	SAMN35842356
Escherichia coli	E. coli	strain: SM107	562	ASM3055291v1	GCA_030552915.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5166015	5511563	2023-07-30	5424	PRJNA997113	SAMN36664847
Escherichia coli	E. coli	strain: DDG220	562	ASM3055311v1	GCA_030553115.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4869779	5086609	2023-07-31	4962	PRJNA800017	SAMN36696312
Escherichia coli	E. coli	strain: DDG206	562	ASM3055313v1	GCA_030553135.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4869893	5092502	2023-07-31	4954	PRJNA800017	SAMN36696311
Escherichia coli	E. coli	strain: FY26	562	ASM3062570v1	GCA_030625705.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4828846	5018840	2023-08-03	4973	PRJNA826997	SAMN29883560
Escherichia coli	E. coli	strain: R13	562	ASM3070785v1	GCA_030707855.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5120420	5308215	2023-08-10	5252	PRJNA887339	SAMN31158873
Escherichia coli	E. coli	strain: R12	562	ASM3070787v1	GCA_030707875.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5228698	5352431	2023-08-10	5305	PRJNA887339	SAMN31158872
Escherichia coli	E. coli	strain: R11	562	ASM3070789v1	GCA_030707895.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5120131	5357694	2023-08-10	5288	PRJNA887339	SAMN31158871
Escherichia coli	E. coli	strain: R10	562	ASM3070791v1	GCA_030707915.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5128182	5266854	2023-08-10	5205	PRJNA887339	SAMN31158870
Escherichia coli	E. coli	strain: R9	562	ASM3070793v1	GCA_030707935.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5100590	5276398	2023-08-10	5170	PRJNA887339	SAMN31158869
Escherichia coli	E. coli	strain: R8	562	ASM3070795v1	GCA_030707955.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5096686	5245954	2023-08-10	5168	PRJNA887339	SAMN31158868
Escherichia coli	E. coli	strain: R7	562	ASM3070797v1	GCA_030707975.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5118568	5363779	2023-08-10	5283	PRJNA887339	SAMN31158867
Escherichia coli	E. coli	strain: R6	562	ASM3070799v1	GCA_030707995.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5297994	5575248	2023-08-10	5561	PRJNA887339	SAMN31158866
Escherichia coli	E. coli	strain: R4	562	ASM3070801v1	GCA_030708015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5325420	5444223	2023-08-10	5431	PRJNA887339	SAMN31158865
Escherichia coli	E. coli	strain: R3	562	ASM3070803v1	GCA_030708035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5283900	5509526	2023-08-10	5495	PRJNA887339	SAMN31158864
Escherichia coli	E. coli	strain: R2	562	ASM3070805v1	GCA_030708055.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5095314	5266470	2023-08-10	5171	PRJNA887339	SAMN31158863
Escherichia coli	E. coli	strain: S14	562	ASM3070813v1	GCA_030708135.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5259570	5439943	2023-08-10	5433	PRJNA887339	SAMN31158885
Escherichia coli	E. coli	strain: S13	562	ASM3070815v1	GCA_030708155.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5287038	5402261	2023-08-10	5375	PRJNA887339	SAMN31158884
Escherichia coli	E. coli	strain: S12	562	ASM3070817v1	GCA_030708175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5281079	5431930	2023-08-10	5378	PRJNA887339	SAMN31158883
Escherichia coli	E. coli	strain: S9	562	ASM3070819v1	GCA_030708195.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5071232	5248437	2023-08-10	5184	PRJNA887339	SAMN31158882
Escherichia coli	E. coli	strain: S8	562	ASM3070821v1	GCA_030708215.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5241944	5382852	2023-08-10	5337	PRJNA887339	SAMN31158881
Escherichia coli	E. coli	strain: S7	562	ASM3070823v1	GCA_030708235.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5247286	5388022	2023-08-10	5354	PRJNA887339	SAMN31158880
Escherichia coli	E. coli	strain: S6	562	ASM3070825v1	GCA_030708255.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5332681	5564723	2023-08-10	5559	PRJNA887339	SAMN31158879
Escherichia coli	E. coli	strain: S5	562	ASM3070827v1	GCA_030708275.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5258595	5506813	2023-08-10	5481	PRJNA887339	SAMN31158878
Escherichia coli	E. coli	strain: S4	562	ASM3070829v1	GCA_030708295.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5226065	5363539	2023-08-10	5317	PRJNA887339	SAMN31158877
Escherichia coli	E. coli	strain: S3	562	ASM3070831v1	GCA_030708315.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5127186	5127186	2023-08-10	5027	PRJNA887339	SAMN31158876
Escherichia coli	E. coli	strain: S2	562	ASM3070833v1	GCA_030708335.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5118474	5363685	2023-08-10	5286	PRJNA887339	SAMN31158875
Escherichia coli	E. coli	strain: DJH_137urine	562	ASM3070837v1	GCA_030708375.1	GenBank		Complete Genome	4806020	5102481	2023-08-10		PRJNA953612	SAMN34121017
Escherichia coli	E. coli	strain: DJH_183sputum	562	ASM3070839v1	GCA_030708395.1	GenBank		Complete Genome	4805295	4858289	2023-08-10		PRJNA953650	SAMN34121641
Escherichia coli	E. coli	strain: DP033	562	ASM3070849v2	GCA_030708495.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5114958	5207354	2023-10-27	5133	PRJNA642167	SAMN15378039
Escherichia coli	E. coli	strain: R14	562	ASM3070853v1	GCA_030708535.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5230650	5432600	2023-08-10	5396	PRJNA887339	SAMN31158874
Escherichia coli	E. coli	strain: JCH767	562	ASM3071748v1	GCA_030717485.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5149474	5149474	2023-08-12	4923	PRJNA980112	SAMN35620195
Escherichia coli	E. coli	strain: JCH8249	562	ASM3071750v1	GCA_030717505.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5155678	5196218	2023-08-12	4987	PRJNA980112	SAMN35620194
Escherichia coli	E. coli	strain: GON1437	562	ASM3071752v1	GCA_030717525.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5207826	5242195	2023-08-12	5053	PRJNA980112	SAMN35620193
Escherichia coli	E. coli	strain: QML220601	562	ASM3071766v1	GCA_030717665.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4885257	5024434	2023-08-13	4923	PRJNA1002110	SAMN36835240
Escherichia coli	E. coli	strain: QML220614	562	ASM3071782v1	GCA_030717825.1	GenBank		Complete Genome	4627679	4779452	2023-08-13		PRJNA1002111	SAMN36835253
Escherichia coli	E. coli	strain: PNUSAE145745	562	ASM3073392v1	GCA_030733925.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5458846	5551583	2023-08-15	5538	PRJNA812595	SAMN36841951
Escherichia coli	E. coli	strain: PNUSAE145743	562	ASM3073416v1	GCA_030734165.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5458821	5551558	2023-08-15	5537	PRJNA812595	SAMN36841952
Escherichia coli	E. coli	strain: XL1-Blue	562	ASM3084535v1	GCA_030845355.1	GenBank		Complete Genome	4633417	4875459	2023-08-20		PRJNA740136	SAMN33821370
Escherichia coli	E. coli	strain: LZSFT34	562	ASM3084601v1	GCA_030846015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4945961	5293503	2023-08-20	5214	PRJNA1004410	SAMN36942423
Escherichia coli	E. coli	strain: LZSFZT33	562	ASM3084603v1	GCA_030846035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	5056393	5592241	2023-08-20	5531	PRJNA1004410	SAMN36942425
Escherichia coli	E. coli	strain: SIJ488	562	ASM3084753v1	GCA_030847535.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4648169	4648169	2023-08-21	4538	PRJNA1002757	SAMN36852611
Escherichia coli	E. coli	strain: RSM8751	562	ASM3086378v1	GCA_030863785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	312681	5017416	2023-08-23	4939	PRJNA1005603	SAMN36991405
Escherichia coli	E. coli	strain: ARS-C101	562	ASM3086392v1	GCA_030863925.1	GenBank		Complete Genome	4937799	5049891	2023-08-23		PRJNA1003888	SAMN36909132
Escherichia coli	E. coli	strain: ARS-C301	562	ASM3086396v1	GCA_030863965.1	GenBank		Complete Genome	4894443	5414722	2023-08-23		PRJNA1003888	SAMN36910816
Escherichia coli	E. coli	strain: RSM044	562	ASM3090856v1	GCA_030908565.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	199063	5374206	2023-08-27	5376	PRJNA1005603	SAMN37045108
Escherichia coli O157:H7		strain: PNUSAE145591	83334	ASM3090864v1	GCA_030908645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4776280	4869019	2023-08-27	4822	PRJNA812595	SAMN36828864
Escherichia coli O157:H7		strain: PNUSAE145590	83334	ASM3090866v1	GCA_030908665.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5572664	5713227	2023-08-27	5780	PRJNA812595	SAMN36828866
Escherichia coli O157:H7		strain: PNUSAE146742	83334	ASM3090868v1	GCA_030908685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5460134	5552870	2023-08-27	5547	PRJNA812595	SAMN36938186
Escherichia coli O157:H7		strain: PNUSAE146744	83334	ASM3090870v1	GCA_030908705.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5394800	5550869	2023-08-27	5546	PRJNA812595	SAMN36938185
Escherichia coli O157:H7		strain: PNUSAE146131	83334	ASM3090872v1	GCA_030908725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5460133	5552868	2023-08-27	5548	PRJNA812595	SAMN36872530
Escherichia coli O157:H7		strain: PNUSAE146743	83334	ASM3090874v1	GCA_030908745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5458769	5551506	2023-08-27	5547	PRJNA812595	SAMN36938187
Escherichia coli	E. coli	strain: ECOL-18-VL-LA-PA-Ryan-0036	562	ASM3090878v1	GCA_030908785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4857936	5157021	2023-08-27	5035	PRJNA325243	SAMN12056373
Escherichia coli	E. coli	strain: PNUSAE147324	562	ASM3093976v2	GCA_030939765.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5458802	5551538	2024-02-06	5549	PRJNA812595	SAMN36984458
Escherichia coli	E. coli	strain: MS10858	562	ASM3098872v1	GCA_030988725.1	GenBank	Annotation submitted by The University of Queensland	Complete Genome	4935580	5035042	2023-08-30	4813	PRJNA493523	SAMN10141460
Escherichia coli	E. coli	strain: MS8324	562	ASM3098882v1	GCA_030988825.1	GenBank	Annotation submitted by The University of Queensland	Complete Genome	4939743	5090654	2023-08-30	4892	PRJNA493523	SAMN10141490
Escherichia coli	E. coli	strain: MS10711	562	ASM3098891v1	GCA_030988915.1	GenBank	Annotation submitted by The University of Queensland	Complete Genome	4976233	5076785	2023-08-30	4856	PRJNA493523	SAMN10141433
Escherichia coli	E. coli	strain: MS10860	562	ASM3099140v1	GCA_030991405.1	GenBank	Annotation submitted by The University of Queensland	Complete Genome	5023252	5146662	2023-08-30	4946	PRJNA493523	SAMN10141462
Escherichia coli	E. coli	strain: MS8320	562	ASM3099142v1	GCA_030991425.1	GenBank	Annotation submitted by The University of Queensland	Complete Genome	5082313	5269697	2023-08-30	5117	PRJNA493523	SAMN10141488
Escherichia coli	E. coli	strain: CUVET18-789	562	ASM3099516v1	GCA_030995165.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4689626	4972227	2023-08-30	4857	PRJNA914526	SAMN32339855
Escherichia coli	E. coli	strain: CUVET18-565	562	ASM3099518v1	GCA_030995185.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4990306	5095776	2023-08-30	4993	PRJNA914526	SAMN32339854
Escherichia coli	E. coli	strain: CUVET17-1136	562	ASM3099520v1	GCA_030995205.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5289576	5436328	2023-08-30	5386	PRJNA914526	SAMN32339853
Escherichia coli	E. coli	strain: CUVET17-1010	562	ASM3099522v1	GCA_030995225.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5353451	5583986	2023-08-30	5461	PRJNA914526	SAMN32339852
Escherichia coli	E. coli	strain: CUVET16-394	562	ASM3099524v1	GCA_030995245.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5101217	5263435	2023-08-30	5073	PRJNA914526	SAMN32339851
Escherichia coli	E. coli	strain: CUVET16-242	562	ASM3099526v1	GCA_030995265.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4983109	5279156	2023-08-30	5228	PRJNA914526	SAMN32339849
Escherichia coli	E. coli	strain: CUVET19-1637	562	ASM3099528v1	GCA_030995285.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5158556	5357384	2023-08-30	5410	PRJNA914526	SAMN32339850
Escherichia coli	E. coli	strain: CUVET21-1780	562	ASM3099640v1	GCA_030996405.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5119320	5119320	2023-08-30	4910	PRJNA914526	SAMN32339848
Escherichia coli	E. coli	strain: CUVET21-H2	562	ASM3099642v1	GCA_030996425.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5124677	5227148	2023-08-30	5105	PRJNA914526	SAMN32339847
Escherichia coli	E. coli	strain: CUVET21-37	562	ASM3099644v1	GCA_030996445.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4790718	5056009	2023-08-30	4905	PRJNA914526	SAMN32339846
Escherichia coli	E. coli	strain: CUVET16-707	562	ASM3099646v1	GCA_030996465.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5043683	5049145	2023-08-30	4842	PRJNA914526	SAMN32339845
Escherichia coli	E. coli	strain: CUVET19-1704	562	ASM3099648v1	GCA_030996485.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4953103	5119714	2023-08-30	4986	PRJNA914526	SAMN32339844
Escherichia coli	E. coli	strain: CUVET20-1667	562	ASM3099650v1	GCA_030996505.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4757980	4905796	2023-08-30	4842	PRJNA914526	SAMN32339843
Escherichia coli	E. coli	strain: CUVET19-1426	562	ASM3099652v1	GCA_030996525.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4593032	4836704	2023-08-30	4730	PRJNA914526	SAMN32339842
Escherichia coli	E. coli	strain: CUVET17-972	562	ASM3099654v1	GCA_030996545.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4868421	5030721	2023-08-30	4992	PRJNA914526	SAMN32339841
Escherichia coli	E. coli	strain: CUVET20-PYO4	562	ASM3099664v1	GCA_030996645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5199531	5532204	2023-08-30	5440	PRJNA914526	SAMN32339840
Escherichia coli	E. coli	strain: CUVET20-PYO2	562	ASM3099678v1	GCA_030996785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5119498	5228550	2023-08-30	5115	PRJNA914526	SAMN32339838
Escherichia coli	E. coli	strain: CUVET20-PYO1	562	ASM3099816v1	GCA_030998165.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5084250	5231077	2023-08-30	5102	PRJNA914526	SAMN32339837
Escherichia coli	E. coli	strain: CREC8	562	ASM3116787v1	GCA_031167875.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4842795	5068102	2023-09-04	4976	PRJNA1005970	SAMN37004833
Escherichia coli	E. coli	strain: 132	562	ASM3117462v1	GCA_031174625.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	87291	4935756	2023-09-03	4852	PRJNA984638	SAMN35773959
Escherichia coli	E. coli	strain: T2	562	ASM3121010v1	GCA_031210105.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4723037	4856831	2023-09-06	4778	PRJNA838499	SAMN32270317
Escherichia coli	E. coli	strain: 8523	562	ASM3123688v1	GCA_031236885.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	4808948	4966457	2023-08-27	4870	PRJNA1004631	SAMN36947632
Escherichia coli	E. coli	strain: 130	562	ASM3132596v1	GCA_031325965.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	11880	4825020	2023-09-11	5076	PRJNA984638	SAMN35773958
Escherichia coli	E. coli	strain: AHS8C65RI	562	ASM3135417v1	GCA_031354175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5080150	5168470	2023-09-12	5002	PRJNA972339	SAMN35073552
Escherichia coli	E. coli	strain: ECGC74	562	ASM3135706v1	GCA_031357065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4839454	4916306	2023-09-12	4774	PRJNA972341	SAMN35073553
Escherichia coli	E. coli	strain: EPSSH018	562	ASM3135708v1	GCA_031357085.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5464264	5531907	2023-09-12	5564	PRJNA972345	SAMN35073571
